* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), L, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2023 11:43:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S1.020.W. 21
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.541	-108.0476
1.030000	61.203	-110.5101
1.060000	60.864	-112.7824
1.090000	60.527	-114.8138
1.120000	60.191	-116.5083
1.150000	59.846	-117.7636
1.180000	59.495	-118.6740
1.220000	59.016	-119.5304
1.250000	58.650	-120.0393
1.280000	58.280	-120.5490
1.320000	57.782	-121.4095
1.360000	57.279	-122.7021
1.400000	56.773	-124.6727
1.450000	56.142	-128.4642
1.500000	55.508	-133.8401
1.550000	54.859	-140.0936
1.600000	54.199	-147.2110
1.650000	53.537	-155.2331
1.700000	52.878	-164.2002
1.750000	52.231	-174.1530
1.800000	51.601	174.8681
1.850000	50.987	162.6794
1.900000	50.319	148.0750
1.950000	49.614	131.5154
2.000000	48.919	113.9064
2.060000	48.160	92.6653
2.120000	47.559	72.7820
2.180000	47.192	55.8212
2.240000	47.145	42.5747
2.300000	47.425	31.5551
2.360000	47.919	22.3804
2.430000	48.610	13.6324
2.500000	49.250	6.5654
2.580000	49.689	0.0362
2.650000	49.906	-3.3823
2.720000	50.050	-4.7544
2.800000	50.102	-4.9243
2.900000	49.962	-4.9279
3.000000	49.519	-6.4155
3.070000	49.007	-7.7847
3.150000	48.310	-9.0800
3.250000	47.419	-9.4585
3.350000	46.617	-7.4554
3.450000	45.742	-3.0886
3.550000	44.941	2.4482
3.650000	44.412	7.9061
3.750000	44.298	13.2179
3.870000	44.555	20.0831
4.000000	45.002	25.7670
4.120000	45.408	27.7350
4.250000	45.959	27.2422
4.370000	46.382	25.0568
4.500000	46.608	21.0591
4.620000	46.679	15.6920
4.750000	46.656	8.7740
4.870000	46.522	1.5732
5.000000	46.271	-7.2736
5.150000	46.060	-18.1931
5.300000	45.959	-29.9910
5.450000	45.974	-42.1896
5.600000	46.201	-54.1132
5.800000	46.747	-69.7919
6.000000	47.312	-84.2624
6.150000	47.734	-94.4610
6.300000	48.014	-104.2939
6.500000	48.200	-116.7293
6.700000	48.029	-130.6528
6.900000	47.512	-146.4974
7.100000	46.659	-167.9411
7.300000	45.776	165.8416
7.500000	45.736	134.8844
7.750000	46.733	95.0242
8.000000	49.042	58.8798
8.250000	50.953	31.0748
8.500000	52.307	9.6737
8.750000	52.938	-6.9096
9.000000	52.867	-21.5132
9.250000	52.062	-31.5120
9.500000	50.551	-35.0319
9.750000	48.451	-27.5185
10.000000	47.434	-14.0418
10.300000	48.304	2.9879
10.600000	50.595	7.8083
10.900000	52.029	-3.2445
11.200000	52.650	-25.0522
11.500000	52.777	-54.0586
11.800000	52.880	-87.3073
12.200000	53.639	-132.9791
12.500000	54.515	-163.3264
12.800000	55.209	172.3206
13.200000	55.456	149.4290
13.600000	54.999	136.7554
14.000000	54.341	132.6851
14.500000	54.183	132.5681
15.000000	54.363	127.8267
15.500000	53.637	116.8257
16.000000	51.452	108.2888
16.500000	48.249	109.9141
17.000000	46.485	111.7086
17.500000	47.442	95.0576
18.000000	48.870	58.7706
18.500000	49.773	15.0762
19.000000	49.639	-25.9735
19.500000	48.051	-53.5161
20.000000	45.575	-49.6631
20.600000	46.111	-17.2872
21.200001	48.423	-16.3167
21.799999	48.355	-62.0453
22.400000	46.766	-140.8528
23.000000	47.569	124.6121
23.600000	50.240	49.4551
24.299999	52.144	-0.4481
25.000000	53.591	-22.7416
25.799999	55.979	-36.2576
26.500000	57.265	-50.3132
27.200001	57.166	-59.5972
28.000000	57.073	-54.5680
29.000000	59.078	-45.1332
30.000000	60.992	-43.7738
30.700001	62.385	-44.1256
31.500000	63.670	-48.6021
32.500000	64.286	-56.4341
33.500000	64.523	-60.1792
34.500000	65.079	-61.4329
35.500000	65.969	-62.6167
36.500000	66.931	-64.6943
37.500000	67.857	-66.5181
38.700001	69.051	-68.4215
40.000000	70.291	-71.6982
41.200001	71.133	-76.5168
42.500000	71.674	-81.6492
43.700001	72.018	-85.6359
45.000000	72.631	-87.1251
46.200001	73.642	-89.6177
47.500000	74.461	-93.6261
48.700001	75.255	-95.6406
50.000000	76.157	-98.1448
51.500000	77.102	-101.1858
53.000000	78.027	-105.4094
54.500000	78.661	-110.7312
56.000000	79.194	-115.3224
58.000000	79.890	-121.0128
60.000000	80.530	-125.6390
61.500000	81.056	-128.7148
63.000000	81.561	-132.1021
65.000000	82.221	-136.7456
67.000000	82.924	-142.5193
69.000000	83.562	-148.8816
71.000000	84.111	-155.1156
73.000000	84.500	-160.9382
75.000000	84.611	-165.9520
77.500000	84.673	-170.4547
80.000000	84.765	-173.8844
82.500000	85.227	-176.4304
85.000000	85.717	178.9745
87.500000	85.928	174.3164
90.000000	86.078	171.4860
92.500000	86.544	169.7388
95.000000	87.191	165.7227
97.500000	87.608	159.9181
100.000000	87.992	153.3148
103.000000	88.018	141.7273
106.000000	86.449	134.6857
109.000000	84.352	145.7184
112.000000	84.558	159.7327
115.000000	86.011	169.1506
118.000000	88.478	176.3900
122.000000	92.167	173.0741
125.000000	93.869	159.7603
128.000000	94.696	144.3467
132.000000	94.460	125.9458
136.000000	93.525	117.4971
140.000000	93.240	111.7950
145.000000	92.618	103.9312
150.000000	91.775	100.2559
155.000000	91.179	98.8645
160.000000	90.682	99.0400
165.000000	90.495	101.2522
170.000000	90.728	102.0605
175.000000	90.943	99.5356
180.000000	90.794	95.9243
185.000000	90.631	93.3309
190.000000	90.484	89.9872
195.000000	90.007	86.6451
200.000000	89.301	87.0842
206.000000	88.994	90.9219
212.000000	89.149	95.0431
218.000000	89.887	98.6571
224.000000	90.710	98.2632
230.000000	91.340	95.1753
236.000000	91.218	91.2306
243.000000	90.874	98.5825
250.000000	93.354	109.8586
258.000000	96.400	101.9561
265.000000	97.319	82.8850
272.000000	96.465	67.0874
280.000000	94.891	59.0959
290.000000	93.113	54.9941
300.000000	91.868	56.5776
307.000000	91.345	58.4351
315.000000	91.247	61.5092
325.000000	91.262	61.6490
335.000000	91.202	65.4403
345.000000	92.224	68.9634
355.000000	93.293	65.1921
365.000000	93.259	59.3097
375.000000	93.013	61.4506
387.000000	94.326	65.3818
400.000000	96.372	60.3962
412.000000	96.710	43.0457
425.000000	95.148	28.9016
437.000000	93.343	23.2557
450.000000	91.205	24.1115
462.000000	89.765	31.3860
475.000000	89.512	40.6158
487.000000	89.919	46.4155
500.000000	90.805	51.3257
515.000000	92.541	55.8199
530.000000	94.989	51.6902
545.000000	95.759	33.6982
560.000000	94.089	24.1276
580.000000	92.356	36.8217
600.000000	92.631	41.1340
615.000000	92.490	43.2683
630.000000	92.708	47.0144
650.000000	94.111	48.5284
670.000000	94.920	37.5201
690.000000	93.653	32.6074
710.000000	93.465	39.3259
730.000000	94.064	41.1909
750.000000	94.782	46.1335
775.000000	97.328	51.2687
800.000000	98.715	39.9393
825.000000	98.452	27.7812
850.000000	98.054	17.1769
875.000000	97.060	8.4447
900.000000	96.366	7.6217
925.000000	96.710	6.8531
950.000000	97.113	2.1598
975.000000	96.417	-1.7378
1000.000000	95.345	2.8823
1030.000000	95.313	6.0791
1060.000000	94.684	2.5869
1090.000000	93.783	4.0027
1120.000000	93.375	8.5275
1150.000000	93.688	11.0577
1180.000000	93.493	7.6204
1220.000000	91.924	11.6385
1250.000000	92.040	20.9248
1280.000000	93.029	21.4590
1320.000000	92.942	13.7897
1360.000000	91.955	16.0322
1400.000000	92.721	23.9612
1450.000000	93.624	18.4999
1500.000000	93.060	15.5219
1550.000000	92.968	16.6614
1600.000000	92.807	13.6323
1650.000000	92.089	10.9979
1700.000000	91.556	10.8575
1750.000000	91.202	8.5984
1800.000000	90.518	8.9176
1850.000000	90.802	12.6812
1900.000000	90.800	6.9635
1950.000000	89.337	8.5431
2000.000000	88.731	13.1443
2060.000000	88.501	13.6243
2120.000000	87.950	14.4768
2180.000000	87.680	16.9092
2240.000000	87.748	18.1617
2300.000000	87.743	17.2278
2360.000000	87.589	15.7827
2430.000000	87.359	13.2406
2500.000000	86.870	11.7931
2580.000000	86.566	10.9132
2650.000000	86.246	8.0828
2720.000000	85.288	5.6367
2800.000000	83.581	10.1407
2900.000000	82.467	20.6382
3000.000000	82.931	29.7786
3070.000000	83.411	31.5327
3150.000000	83.759	33.4033
3250.000000	84.473	36.8940
3350.000000	85.966	39.7422
3450.000000	87.583	36.6497
3550.000000	88.343	29.3003
3650.000000	88.684	22.6093
3750.000000	89.023	15.1774
3870.000000	89.714	1.1721
4000.000000	89.241	-20.1450
4120.000000	87.594	-32.9320
4250.000000	85.643	-40.5790
4370.000000	83.581	-42.8865
4500.000000	81.135	-41.9537
4620.000000	78.902	-37.1816
4750.000000	77.099	-29.1465
4870.000000	76.231	-19.4626
5000.000000	76.570	-9.7468
5150.000000	77.941	-6.9049
5300.000000	78.730	-13.6409
5450.000000	78.199	-20.6704
5600.000000	77.045	-25.1144
5800.000000	74.907	-25.9402
6000.000000	72.828	-22.8104
6150.000000	71.575	-17.3931
6300.000000	71.554	-9.7996
6500.000000	72.397	-13.2283
6700.000000	71.309	-25.8040
6900.000000	68.580	-54.2327
7100.000000	65.411	-173.2688
7300.000000	63.610	50.9729
7500.000000	63.022	20.8708
7750.000000	62.687	18.2966
8000.000000	62.379	-56.5168
8250.000000	61.617	158.5894
8500.000000	61.153	57.0879
8750.000000	60.660	87.3672
9000.000000	59.154	28.9131
9250.000000	59.206	-46.3047
9500.000000	61.899	36.4941
9750.000000	65.151	-28.5615
10000.000000	68.575	-37.8252
10300.000000	70.908	119.4268
10600.000000	71.343	81.2129
10900.000000	70.924	56.7441
11200.000000	68.719	26.9922
11500.000000	66.224	-122.6680
11800.000000	65.284	78.9531
12200.000000	70.271	-124.5039
12500.000000	72.082	-94.4961
12800.000000	70.585	-67.0938
13200.000000	65.798	0.6602
13600.000000	61.401	64.4375
14000.000000	59.954	177.0820
14500.000000	58.974	27.4023
15000.000000	58.875	103.4688
15500.000000	59.021	-52.6328
16000.000000	59.085	160.4531
16500.000000	59.552	-101.7969
17000.000000	59.926	-14.4688
17500.000000	60.189	-174.9531
18000.000000	60.445	51.2969
18500.000000	60.665	146.6250
19000.000000	61.256	-24.3125
19500.000000	62.005	-119.7188
20000.000000	61.286	-170.6875
20600.000000	59.694	140.3125
21200.000000	58.673	-141.4375
21800.000000	57.615	-121.6250
22400.000000	56.493	101.5000
23000.000000	55.518	-3.5312
23600.000000	56.059	-54.3438

* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), L, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2023 11:43:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S1.020.W. 22
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.472	-103.2217
1.030000	61.185	-105.0365
1.060000	60.893	-106.7200
1.090000	60.600	-108.2415
1.120000	60.307	-109.6198
1.150000	60.016	-110.9694
1.180000	59.725	-112.2815
1.220000	59.333	-113.9443
1.250000	59.031	-115.1049
1.280000	58.721	-116.1730
1.320000	58.288	-117.4247
1.360000	57.827	-118.4434
1.400000	57.333	-119.1900
1.450000	56.657	-119.6808
1.500000	55.885	-119.6678
1.550000	54.976	-119.2733
1.600000	53.978	-118.4915
1.650000	52.946	-117.3067
1.700000	51.933	-115.7033
1.750000	50.991	-113.6658
1.800000	50.175	-111.1785
1.850000	49.528	-108.1721
1.900000	48.991	-104.1923
1.950000	48.540	-99.4128
2.000000	48.170	-94.1750
2.060000	47.830	-87.7654
2.120000	47.595	-81.7774
2.180000	47.461	-76.8009
2.240000	47.471	-73.0474
2.300000	47.711	-69.8077
2.360000	48.088	-67.1117
2.430000	48.567	-64.7666
2.500000	48.933	-63.4113
2.580000	49.017	-63.3079
2.650000	48.848	-65.7297
2.720000	48.536	-69.9047
2.800000	48.017	-74.9499
2.900000	47.148	-78.4744
3.000000	45.878	-76.3689
3.070000	44.614	-72.7546
3.150000	43.114	-66.7965
3.250000	41.688	-56.9057
3.350000	41.324	-43.8018
3.450000	41.828	-25.3278
3.550000	42.852	-5.8650
3.650000	44.078	9.4123
3.750000	45.524	18.1680
3.870000	47.709	23.5930
4.000000	49.862	24.2610
4.120000	51.120	19.6876
