* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), L, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2023 12:07:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S1.050.W. 1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.303	-116.5816
1.030000	61.981	-119.2161
1.060000	61.656	-121.6951
1.090000	61.331	-123.9766
1.120000	61.004	-125.9646
1.150000	60.670	-127.5378
1.180000	60.327	-128.7885
1.220000	59.858	-130.1317
1.250000	59.500	-131.0294
1.280000	59.135	-131.9470
1.320000	58.641	-133.3795
1.360000	58.140	-135.2742
1.400000	57.634	-137.8748
1.450000	56.994	-142.4895
1.500000	56.334	-148.7407
1.550000	55.620	-155.9545
1.600000	54.875	-164.0958
1.650000	54.127	-173.1801
1.700000	53.404	176.7768
1.750000	52.733	165.7593
1.800000	52.143	153.7518
1.850000	51.652	140.5884
1.900000	51.197	125.0137
1.950000	50.777	107.4842
2.000000	50.413	88.9200
2.060000	50.080	66.5725
2.120000	49.896	45.6495
2.180000	49.896	27.7406
2.240000	50.151	13.6672
2.300000	50.715	1.9479
2.360000	51.475	-7.8399
2.430000	52.449	-17.2499
2.500000	53.333	-24.9856
2.580000	53.998	-32.3445
2.650000	54.346	-36.0398
2.720000	54.571	-37.4316
2.800000	54.684	-38.0028
2.900000	54.619	-40.2571
3.000000	54.340	-47.7102
3.070000	54.019	-55.6374
3.150000	53.511	-65.1423
3.250000	52.642	-74.1867
3.350000	51.425	-76.7451
3.450000	49.710	-75.0681
3.550000	47.866	-69.2910
3.650000	46.321	-58.9580
3.750000	45.107	-41.4456
3.870000	43.850	-12.0803
4.000000	43.493	17.2200
4.120000	44.924	33.7094
4.250000	48.055	45.0668
4.370000	50.793	49.9828
4.500000	52.473	47.6854
4.620000	53.462	39.1153
4.750000	54.235	29.8479
4.870000	54.770	24.5352
5.000000	55.078	19.7126
5.150000	55.242	14.8454
5.300000	55.215	10.7879
5.450000	55.016	7.2415
5.600000	54.706	3.5417
5.800000	54.100	-1.0472
6.000000	53.326	-3.3162
6.150000	52.641	-3.6700
6.300000	51.900	-3.0525
6.500000	50.813	-0.6883
6.700000	49.737	3.4805
6.900000	48.687	9.3582
7.100000	47.789	16.1320
7.300000	47.034	23.7037
7.500000	46.430	31.4917
7.750000	45.905	41.8962
8.000000	45.648	53.2315
8.250000	45.941	64.9647
8.500000	46.751	75.6252
8.750000	48.035	83.9061
9.000000	49.309	88.1331
9.250000	50.384	88.8130
9.500000	51.111	86.2962
9.750000	51.418	81.5606
10.000000	51.282	75.2436
10.300000	50.494	66.4431
10.600000	48.957	57.4130
10.900000	46.508	41.9274
11.200000	42.799	8.0260
11.500000	39.980	-42.0076
11.800000	40.148	-94.9034
12.200000	44.663	-140.3524
12.500000	47.071	-154.4567
12.800000	48.620	-163.0469
13.200000	49.634	-178.7242
13.600000	49.531	157.9363
14.000000	48.543	123.2914
14.500000	47.666	63.7196
15.000000	48.975	2.9885
15.500000	50.201	-42.4064
16.000000	49.556	-67.6327
16.500000	47.228	-60.9964
17.000000	47.514	-28.6143
17.500000	51.092	-8.3147
18.000000	53.340	-14.2278
18.500000	53.872	-29.8461
19.000000	53.023	-41.5104
19.500000	51.249	-44.1630
20.000000	49.428	-38.8105
20.600000	48.369	-30.1723
21.200001	48.110	-22.4691
21.799999	48.860	-13.2209
22.400000	50.785	-7.8787
23.000000	52.514	-11.0383
23.600000	53.542	-17.1985
24.299999	54.389	-21.5039
25.000000	55.158	-23.0289
25.799999	56.070	-20.6124
26.500000	57.711	-15.8275
27.200001	59.509	-16.2714
28.000000	60.513	-22.2477
29.000000	61.505	-23.9729
30.000000	63.273	-28.6336
30.700001	63.833	-36.5162
31.500000	63.904	-42.6903
32.500000	64.284	-45.4648
33.500000	64.958	-47.6147
34.500000	65.867	-48.7996
35.500000	66.965	-51.2443
36.500000	67.901	-54.9961
37.500000	68.755	-58.6368
38.700001	69.745	-62.9311
40.000000	70.865	-67.5499
41.200001	71.815	-72.6699
42.500000	72.811	-77.7571
43.700001	73.705	-83.7216
45.000000	74.243	-89.5475
46.200001	74.910	-91.6603
47.500000	75.937	-93.9154
48.700001	76.744	-97.0894
50.000000	77.339	-99.7125
51.500000	78.138	-101.1359
53.000000	79.000	-104.2964
54.500000	79.607	-108.9801
56.000000	80.111	-112.9381
58.000000	80.893	-118.4050
60.000000	81.432	-123.6093
61.500000	81.883	-126.5795
63.000000	82.384	-129.8428
65.000000	83.111	-134.3363
67.000000	83.914	-139.7644
69.000000	84.491	-145.8572
71.000000	84.974	-151.7478
73.000000	85.291	-158.0878
75.000000	85.407	-163.3395
77.500000	85.555	-168.0818
80.000000	85.739	-171.3744
82.500000	86.220	-173.9506
85.000000	86.763	-178.4119
87.500000	87.009	177.1299
90.000000	87.251	174.3132
92.500000	87.826	171.8234
95.000000	88.516	167.0345
97.500000	88.961	160.8279
100.000000	89.307	153.9446
103.000000	89.228	142.8956
106.000000	87.730	137.3273
109.000000	86.276	147.1824
112.000000	86.955	157.4380
115.000000	88.396	162.2679
118.000000	90.244	163.5474
122.000000	92.658	156.2291
125.000000	93.655	145.0338
128.000000	93.973	133.2759
132.000000	93.444	120.6256
136.000000	92.644	116.3782
140.000000	92.593	113.6536
145.000000	92.398	107.5706
150.000000	91.887	103.9127
155.000000	91.497	102.1489
160.000000	91.112	101.7528
165.000000	90.939	103.2013
170.000000	91.169	103.9731
175.000000	91.382	102.0350
180.000000	91.274	98.9686
185.000000	91.168	96.6946
190.000000	91.093	93.5361
195.000000	90.683	90.3259
200.000000	90.041	90.5046
206.000000	89.802	94.0677
212.000000	90.043	97.9888
218.000000	90.849	101.1503
224.000000	91.724	100.3259
230.000000	92.365	96.9559
236.000000	92.351	93.3320
243.000000	92.388	98.3075
250.000000	94.365	102.9956
258.000000	96.370	93.0784
265.000000	96.762	78.1722
272.000000	95.904	67.2758
280.000000	94.672	62.1573
290.000000	93.280	59.2150
300.000000	92.336	60.7764
307.000000	91.938	62.3577
315.000000	91.975	65.2108
325.000000	92.061	64.6881
335.000000	92.103	67.8699
345.000000	93.108	69.9863
355.000000	94.033	65.7354
365.000000	94.016	60.1870
375.000000	93.896	61.0305
387.000000	94.826	61.6941
400.000000	95.943	57.1506
412.000000	96.252	45.3416
425.000000	95.170	33.6531
437.000000	93.640	28.1387
450.000000	91.728	29.3427
462.000000	90.606	35.9070
475.000000	90.519	43.5059
487.000000	90.989	48.4457
500.000000	92.017	51.5620
515.000000	93.224	51.0970
530.000000	94.452	45.9113
545.000000	94.680	36.1057
560.000000	93.684	32.4302
580.000000	93.236	41.4559
600.000000	93.676	43.2069
615.000000	93.590	44.1870
630.000000	93.812	45.9088
650.000000	94.580	43.6882
670.000000	94.569	35.7222
690.000000	93.626	36.0292
710.000000	94.027	41.2177
730.000000	94.627	42.1039
750.000000	95.434	46.8613
775.000000	97.905	50.4241
800.000000	99.111	38.4138
825.000000	98.775	26.5752
850.000000	98.416	15.9788
875.000000	97.424	7.4080
900.000000	96.774	6.8059
925.000000	97.247	6.1611
950.000000	97.738	0.6125
975.000000	96.961	-3.8860
1000.000000	95.880	0.3684
1030.000000	95.763	2.7284
1060.000000	95.037	0.0660
1090.000000	94.328	1.6511
1120.000000	93.950	4.3545
1150.000000	94.040	6.3246
1180.000000	93.780	4.1655
1220.000000	92.465	7.4558
1250.000000	92.513	15.0635
1280.000000	93.302	15.4979
1320.000000	93.140	9.5337
1360.000000	92.256	12.1067
1400.000000	92.875	18.7733
1450.000000	93.718	14.7061
1500.000000	93.176	13.1324
1550.000000	93.118	14.8405
1600.000000	92.970	12.5314
1650.000000	92.339	10.6908
1700.000000	91.924	10.9209
1750.000000	91.609	8.8601
1800.000000	90.980	10.3391
1850.000000	91.410	13.4661
1900.000000	91.231	8.2250
1950.000000	90.008	10.9288
2000.000000	89.727	14.2283
2060.000000	89.474	12.5378
2120.000000	88.686	13.4014
2180.000000	88.408	15.3491
2240.000000	88.268	15.9315
2300.000000	88.165	15.4307
2360.000000	87.879	14.1594
2430.000000	87.470	12.9536
2500.000000	86.932	12.4607
2580.000000	86.562	12.9644
2650.000000	86.239	11.4344
2720.000000	85.236	11.3755
2800.000000	83.931	17.7614
2900.000000	83.114	27.8011
3000.000000	83.577	35.1951
3070.000000	83.901	36.8423
3150.000000	84.148	39.2361
3250.000000	84.745	43.2694
3350.000000	86.087	46.6993
3450.000000	87.574	44.5673
3550.000000	88.312	39.0947
3650.000000	88.753	33.6592
3750.000000	89.025	27.5399
3870.000000	89.750	15.7361
4000.000000	89.708	-5.6482
4120.000000	87.941	-20.7487
4250.000000	85.556	-28.2114
4370.000000	83.129	-28.9629
4500.000000	80.044	-22.0834
4620.000000	77.559	-9.0718
4750.000000	76.210	5.6479
4870.000000	75.884	17.9147
5000.000000	76.410	28.6364
5150.000000	77.591	33.8057
5300.000000	78.169	31.3962
5450.000000	77.428	28.9175
5600.000000	75.910	31.2000
5800.000000	73.765	39.8795
6000.000000	71.992	50.3298
6150.000000	71.156	60.5782
6300.000000	71.523	68.8495
6500.000000	71.820	67.6421
6700.000000	69.915	63.5134
6900.000000	66.415	61.8843
7100.000000	63.650	-28.0929
7300.000000	63.154	-31.2172
7500.000000	62.652	-71.9341
7750.000000	61.890	52.2339
8000.000000	61.974	72.8503
8250.000000	61.556	30.3379
8500.000000	61.909	170.3696
8750.000000	61.364	-106.0156
9000.000000	59.549	108.5830
9250.000000	59.802	119.5977
9500.000000	62.856	-61.9570
9750.000000	66.733	71.3086
10000.000000	70.441	-3.5039
10300.000000	72.404	-26.8965
10600.000000	72.341	-35.8086
10900.000000	71.886	-46.4727
11200.000000	69.549	-82.2051
11500.000000	66.768	4.8672
11800.000000	66.262	-94.7676
12200.000000	71.896	84.2441
12500.000000	73.458	47.1797
12800.000000	71.663	-80.5801
13200.000000	66.221	22.7812
13600.000000	61.703	-115.5039
14000.000000	60.112	-98.5430
14500.000000	59.378	56.8906
15000.000000	58.791	123.4609
15500.000000	59.052	117.1797
16000.000000	59.119	-126.2812
16500.000000	59.434	174.1719
17000.000000	59.726	-45.2500
17500.000000	60.059	12.0312
18000.000000	60.312	96.2500
18500.000000	60.472	-25.5000
19000.000000	60.685	28.4688
19500.000000	61.448	-134.2812
20000.000000	62.002	-77.3125
20600.000000	60.654	-77.1250
21200.000000	59.138	-40.3125
21800.000000	57.983	-110.6562
22400.000000	56.869	47.1875
23000.000000	56.189	-145.3125
23600.000000	57.302	-157.0000

* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), L, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2023 12:07:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S1.050.W. 2
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.522	-119.2886
1.030000	61.087	-123.4548
1.060000	60.645	-126.8425
1.090000	60.199	-129.2599
1.120000	59.743	-130.7695
1.150000	59.258	-131.9577
1.180000	58.750	-132.8179
1.220000	58.045	-133.3747
1.250000	57.502	-133.2899
1.280000	56.953	-132.7232
1.320000	56.223	-131.1381
1.360000	55.506	-128.5047
1.400000	54.814	-124.7136
1.450000	54.006	-118.1801
1.500000	53.238	-108.8322
1.550000	52.420	-95.4554
1.600000	51.594	-79.3120
1.650000	50.814	-61.7989
1.700000	50.131	-44.3130
1.750000	49.599	-28.2509
1.800000	49.270	-15.0095
1.850000	49.201	-5.7777
1.900000	49.440	0.7142
1.950000	49.927	5.2141
2.000000	50.579	8.0204
2.060000	51.463	9.5729
2.120000	52.326	9.6321
2.180000	53.025	8.7138
2.240000	53.512	6.7031
2.300000	53.958	2.4684
2.360000	54.354	-3.3647
2.430000	54.722	-11.2141
2.500000	54.953	-19.0815
2.580000	55.004	-26.7013
2.650000	54.881	-33.3386
2.720000	54.616	-40.2173
2.800000	54.136	-47.3318
2.900000	53.259	-53.3279
3.000000	51.986	-54.9935
3.070000	50.804	-54.4802
3.150000	49.311	-51.8175
3.250000	47.479	-44.6141
3.350000	45.835	-31.3483
3.450000	44.006	-9.9107
3.550000	42.461	13.8640
3.650000	41.794	33.2878
3.750000	42.589	45.7212
3.870000	44.962	55.8441
4.000000	47.491	60.2623
4.120000	48.621	56.7432
4.250000	49.230	45.0770
4.370000	49.366	32.1488
4.500000	49.046	19.7074
4.620000	48.309	7.5507
4.750000	47.322	-8.7925
4.870000	46.130	-28.6560
5.000000	44.618	-53.8746
5.150000	43.892	-83.5112
5.300000	44.889	-114.5172
5.450000	46.525	-143.6806
5.600000	47.921	-165.5998
5.800000	49.744	173.2887
6.000000	50.802	158.3908
6.150000	51.167	150.8293
6.300000	51.254	143.2376
6.500000	50.921	133.7005
6.700000	50.089	124.4741
6.900000	48.743	116.3375
7.100000	46.665	116.4960
7.300000	44.066	124.6588
7.500000	40.996	144.4964
7.750000	39.020	173.9152
8.000000	41.568	-161.1971
8.250000	43.816	-152.6712
8.500000	45.399	-155.7375
8.750000	45.937	-166.4192
9.000000	45.767	-177.7180
9.250000	44.912	171.0601
9.500000	43.379	159.7641
9.750000	41.061	142.6173
10.000000	37.742	109.9308
10.300000	33.367	47.3192
10.600000	31.639	-31.5912
10.900000	33.873	-97.4647
11.200000	35.848	-144.8047
11.500000	36.998	177.4874
11.800000	37.542	140.1136
12.200000	37.663	83.5462
12.500000	38.032	35.9795
12.800000	39.914	-15.0181
13.200000	44.152	-78.7200
13.600000	47.942	-128.4944
14.000000	50.623	-164.9503
14.500000	52.618	158.7856
15.000000	53.495	126.1091
15.500000	53.664	94.1316
16.000000	53.521	61.6553
16.500000	53.314	29.6227
17.000000	52.940	1.0410
17.500000	52.140	-19.1820
18.000000	51.193	-26.7776
18.500000	51.253	-24.8413
19.000000	52.386	-24.1931
19.500000	53.040	-29.9534
20.000000	52.496	-34.3635
20.600000	51.624	-24.6637
21.200001	53.361	-10.3337
21.799999	55.254	-14.6166
22.400000	55.220	-29.9375
23.000000	53.433	-33.1614
23.600000	52.723	-20.3420
24.299999	54.713	-15.6794
25.000000	55.440	-30.5701
25.799999	54.285	-37.1262
26.500000	54.740	-27.6949
27.200001	56.831	-22.9409
28.000000	58.813	-26.4717
29.000000	60.672	-33.3832
30.000000	61.640	-40.3066
30.700001	62.239	-41.9575
31.500000	63.256	-43.4562
32.500000	64.349	-47.6035
33.500000	65.442	-50.3013
34.500000	66.731	-53.7793
35.500000	67.744	-58.6267
36.500000	68.572	-62.5754
37.500000	69.367	-65.9058
38.700001	70.164	-69.9791
40.000000	70.922	-72.6163
41.200001	71.876	-74.2024
42.500000	73.013	-76.7179
43.700001	73.954	-80.4603
45.000000	74.539	-84.6450
46.200001	75.000	-86.7080
47.500000	75.660	-89.0347
48.700001	76.315	-92.4285
50.000000	77.019	-97.2485
51.500000	77.757	-102.6215
53.000000	78.689	-106.6014
54.500000	79.537	-111.0494
56.000000	80.156	-114.8590
58.000000	80.798	-119.3846
60.000000	81.389	-124.2081
61.500000	81.838	-127.8438
63.000000	82.365	-130.8218
65.000000	83.247	-134.4131
67.000000	84.058	-139.4679
69.000000	84.633	-145.4227
71.000000	85.075	-151.8452
73.000000	85.340	-158.0822
75.000000	85.415	-162.9281
77.500000	85.511	-167.3064
80.000000	85.726	-171.0559
82.500000	86.250	-174.2566
85.000000	86.784	-178.6531
87.500000	87.001	177.0155
90.000000	87.213	174.1898
92.500000	87.821	171.7164
95.000000	88.512	166.7452
97.500000	88.904	160.6067
100.000000	89.219	153.8938
103.000000	89.126	142.8373
106.000000	87.642	137.1046
109.000000	86.228	147.1272
112.000000	86.932	157.4321
115.000000	88.392	162.1958
118.000000	90.306	163.2678
122.000000	92.668	155.6869
125.000000	93.614	144.8522
128.000000	93.930	133.2949
132.000000	93.418	120.6897
136.000000	92.609	116.4517
140.000000	92.567	113.8254
145.000000	92.397	107.7283
150.000000	91.878	104.0931
155.000000	91.488	102.4469
160.000000	91.100	102.0197
165.000000	90.923	103.6219
170.000000	91.155	104.3953
175.000000	91.367	102.4208
180.000000	91.267	99.6321
185.000000	91.193	97.5522
190.000000	91.156	94.5564
195.000000	90.773	91.5182
200.000000	90.149	91.9458
206.000000	89.901	95.6050
212.000000	90.124	99.5112
218.000000	90.931	102.5342
224.000000	91.795	101.5125
230.000000	92.424	98.1666
236.000000	92.400	94.6042
243.000000	92.437	99.5867
250.000000	94.412	104.2235
258.000000	96.395	94.2789
265.000000	96.775	79.4807
272.000000	95.920	68.5918
280.000000	94.680	63.3867
290.000000	93.277	60.4623
300.000000	92.326	62.2220
307.000000	91.917	63.8494
315.000000	91.953	66.7992
325.000000	92.046	66.4004
335.000000	92.086	69.5885
345.000000	93.092	71.7219
355.000000	94.027	67.5471
365.000000	94.010	62.0723
375.000000	93.895	62.9913
387.000000	94.831	63.7499
400.000000	95.937	59.3684
412.000000	96.235	47.7002
425.000000	95.153	36.1091
437.000000	93.637	30.7543
450.000000	91.743	31.9590
462.000000	90.613	38.4941
475.000000	90.507	46.1929
487.000000	90.979	51.3220
500.000000	92.005	54.7814
515.000000	93.211	54.6805
530.000000	94.452	49.6957
545.000000	94.691	40.0469
560.000000	93.697	36.4823
580.000000	93.213	45.7101
600.000000	93.615	47.6042
615.000000	93.546	48.5286
630.000000	93.792	50.1924
650.000000	94.586	47.9454
670.000000	94.581	39.8855
690.000000	93.635	40.1991
710.000000	94.031	45.4014
