* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), R, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 21, 2023 9:09:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Straight test stand, run 1, 110 grams of wool damping 10/21/2023
* Measurement: S1.110.W. 1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.995	-115.7330
1.030000	60.649	-117.8808
1.060000	60.300	-120.0652
1.090000	59.950	-122.2897
1.120000	59.600	-124.6548
1.150000	59.244	-127.3821
1.180000	58.881	-130.3847
1.220000	58.387	-134.6369
1.250000	58.008	-137.8778
1.280000	57.623	-141.0475
1.320000	57.097	-144.9833
1.360000	56.558	-148.3612
1.400000	56.005	-150.9349
1.450000	55.294	-152.6454
1.500000	54.531	-152.5178
1.550000	53.662	-151.1505
1.600000	52.732	-148.6473
1.650000	51.795	-145.0691
1.700000	50.902	-140.4769
1.750000	50.106	-134.9318
1.800000	49.458	-128.4947
1.850000	49.001	-121.0545
1.900000	48.680	-111.1976
1.950000	48.469	-99.3709
2.000000	48.364	-86.5418
2.060000	48.371	-71.1855
2.120000	48.518	-57.4501
2.180000	48.796	-47.0069
2.240000	49.263	-40.8204
2.300000	50.034	-37.5055
2.360000	50.984	-36.4157
2.430000	52.142	-37.2072
2.500000	53.147	-39.3707
2.580000	53.843	-42.4463
2.650000	54.098	-46.4316
2.720000	54.142	-51.8852
2.800000	53.994	-59.3054
2.900000	53.613	-69.3215
3.000000	53.064	-80.3291
3.070000	52.521	-89.7601
3.150000	51.784	-100.5127
3.250000	50.772	-110.9499
3.350000	49.656	-115.4179
3.450000	48.176	-116.2949
3.550000	46.791	-112.6355
3.650000	46.052	-102.8146
3.750000	46.323	-83.0362
3.870000	47.566	-48.2991
4.000000	49.332	-13.5367
4.120000	51.017	5.4342
4.250000	53.163	18.0892
4.370000	54.903	22.6034
4.500000	56.128	17.1965
4.620000	56.869	3.6950
4.750000	57.420	-10.3125
4.870000	57.743	-17.9822
5.000000	57.854	-24.3401
5.150000	57.797	-30.7384
5.300000	57.551	-36.3439
5.450000	57.134	-41.1399
5.600000	56.581	-45.8052
5.800000	55.642	-51.0864
6.000000	54.611	-52.0157
6.150000	53.809	-50.3848
6.300000	53.175	-48.0597
6.500000	52.549	-43.5773
6.700000	52.251	-39.2104
6.900000	52.237	-35.3402
7.100000	52.137	-35.4314
7.300000	51.875	-38.2997
7.500000	51.167	-43.7210
7.750000	49.462	-43.9165
8.000000	46.535	-27.2459
8.250000	44.937	6.2490
8.500000	45.831	40.7316
8.750000	50.024	62.8430
9.000000	52.852	65.4017
9.250000	54.763	58.3150
9.500000	55.843	47.7411
9.750000	56.307	39.2175
10.000000	56.214	32.2478
10.300000	55.469	26.9782
10.600000	54.220	27.5610
10.900000	53.171	34.8436
