* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), L, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2023 12:11:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SP1.050.W. 1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.475	-105.5985
1.030000	60.048	-107.8828
1.060000	59.608	-109.7221
1.090000	59.156	-111.0170
1.120000	58.686	-111.8169
1.150000	58.181	-112.4638
1.180000	57.644	-112.9398
1.220000	56.894	-113.2372
1.250000	56.312	-113.1539
1.280000	55.723	-112.7621
1.320000	54.934	-111.6885
1.360000	54.159	-109.8951
1.400000	53.411	-107.2841
1.450000	52.540	-102.7216
1.500000	51.706	-96.1575
1.550000	50.783	-86.8524
1.600000	49.837	-75.6503
1.650000	48.944	-63.4795
1.700000	48.182	-51.2683
1.750000	47.628	-39.9451
1.800000	47.357	-30.4381
1.850000	47.456	-23.5204
1.900000	48.012	-18.2064
1.950000	48.928	-14.0490
2.000000	50.073	-10.9524
2.060000	51.567	-8.5015
2.120000	52.977	-7.2740
2.180000	54.080	-7.1043
2.240000	54.764	-8.2727
2.300000	55.252	-11.5589
2.360000	55.590	-16.2746
2.430000	55.836	-22.5564
2.500000	55.968	-28.5144
2.580000	56.038	-33.3603
2.650000	55.999	-35.1757
2.720000	55.849	-35.7965
2.800000	55.554	-36.7402
2.900000	55.027	-41.1640
3.000000	54.347	-53.2707
3.070000	53.776	-66.5460
3.150000	53.014	-82.9119
3.250000	51.880	-99.4202
3.350000	50.419	-106.4322
3.450000	48.369	-108.5158
3.550000	46.341	-103.9205
3.650000	45.044	-89.5928
3.750000	44.948	-59.5284
3.870000	45.884	-6.3205
4.000000	47.261	47.4921
4.120000	48.357	77.6299
4.250000	49.706	98.7071
4.370000	50.722	108.1988
4.500000	51.290	104.1752
4.620000	51.479	88.5722
4.750000	51.434	73.7876
4.870000	51.155	69.2554
5.000000	50.600	68.4975
5.150000	49.922	70.5684
5.300000	49.124	76.3700
5.450000	48.487	83.8002
5.600000	48.483	89.7810
5.800000	49.156	96.8291
6.000000	50.138	101.7859
6.150000	51.035	104.0118
6.300000	51.738	103.8687
6.500000	52.441	100.1494
6.700000	52.831	94.8149
6.900000	52.908	87.9749
7.100000	52.690	80.1259
7.300000	52.181	71.1972
7.500000	51.395	61.1551
7.750000	50.031	47.2313
8.000000	48.250	31.9686
8.250000	46.094	14.9328
8.500000	43.768	-3.6794
8.750000	41.490	-23.6329
9.000000	40.233	-43.4077
9.250000	40.195	-61.9993
9.500000	41.409	-78.8246
9.750000	42.890	-94.4664
10.000000	44.259	-109.7784
10.300000	45.413	-128.5320
10.600000	45.849	-148.6210
10.900000	45.401	-172.4524
11.200000	43.729	168.1064
11.500000	41.588	168.2263
11.800000	41.266	-167.1733
12.200000	46.197	-120.8668
12.500000	49.477	-107.3156
12.800000	51.520	-118.2418
13.200000	52.851	-143.4800
13.600000	52.798	-165.0265
14.000000	51.481	-178.2744
14.500000	48.651	-176.0995
15.000000	47.283	-162.2600
15.500000	47.647	-160.3045
16.000000	46.578	173.6963
16.500000	43.526	103.7340
17.000000	42.465	14.1428
17.500000	44.570	-40.7593
18.000000	45.504	-57.7225
18.500000	45.063	-61.5442
19.000000	43.677	-63.1125
19.500000	42.030	-42.8723
20.000000	43.201	16.4958
20.600000	47.181	78.9360
21.200001	49.551	88.2486
21.799999	50.330	86.0956
22.400000	50.484	92.1227
23.000000	50.716	103.0406
23.600000	51.093	114.7930
24.299999	51.746	128.2668
25.000000	52.859	137.4844
25.799999	53.681	128.8914
26.500000	52.881	90.0251
27.200001	51.840	16.8001
28.000000	53.038	-78.3031
29.000000	53.313	171.7250
30.000000	55.122	37.6943
30.700001	57.739	-38.9018
31.500000	58.857	-95.3876
32.500000	57.187	-139.7756
33.500000	52.846	-148.4109
34.500000	50.607	-140.6993
35.500000	51.563	177.5503
36.500000	50.416	76.6466
37.500000	49.947	-64.5305
38.700001	52.054	171.7043
40.000000	54.574	146.8887
41.200001	57.821	146.2043
42.500000	59.541	134.0890
43.700001	60.351	124.1377
45.000000	59.910	122.3912
46.200001	60.854	133.4387
