* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), R, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 21, 2023 9:21:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Straight test stand, run 1, 130 grams of wool damping 10/21/2023
* Measurement: SP1.130.W. 1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.794	-98.3141
1.030000	61.472	-99.5635
1.060000	61.149	-101.0077
1.090000	60.828	-102.6881
1.120000	60.507	-104.7043
1.150000	60.179	-107.1871
1.180000	59.844	-110.0416
1.220000	59.388	-114.2416
1.250000	59.040	-117.5493
1.280000	58.687	-120.8738
1.320000	58.212	-125.1486
1.360000	57.732	-129.0119
1.400000	57.250	-132.2112
1.450000	56.646	-134.8923
1.500000	56.044	-136.1558
1.550000	55.444	-137.0397
1.600000	54.841	-137.3005
1.650000	54.232	-136.6071
1.700000	53.613	-134.6280
1.750000	52.980	-131.0320
1.800000	52.330	-125.4878
1.850000	51.649	-117.5113
1.900000	50.856	-105.7202
1.950000	49.983	-90.8862
2.000000	49.091	-74.2954
2.060000	48.084	-53.8781
2.120000	47.248	-35.0049
2.180000	46.690	-19.8979
2.240000	46.505	-9.6643
2.300000	46.663	-2.1633
2.360000	47.053	3.1139
2.430000	47.657	6.9438
2.500000	48.252	8.8162
2.580000	48.710	9.1916
2.650000	49.020	6.2793
2.720000	49.315	0.6614
2.800000	49.580	-6.9452
2.900000	49.709	-14.6074
3.000000	49.493	-17.0966
3.070000	49.138	-16.9560
3.150000	48.622	-15.7225
3.250000	47.960	-13.6455
3.350000	47.414	-11.8866
3.450000	46.867	-9.4811
3.550000	46.359	-7.0016
3.650000	45.959	-5.3059
3.750000	45.730	-4.3901
3.870000	45.621	-3.8681
4.000000	45.535	-5.8935
4.120000	45.322	-11.4133
4.250000	45.019	-20.6144
4.370000	44.910	-31.8308
4.500000	45.121	-47.6366
4.620000	45.536	-65.3586
4.750000	46.262	-84.4457
4.870000	47.297	-100.7525
5.000000	48.725	-117.9641
5.150000	50.287	-135.2921
5.300000	51.682	-149.1357
5.450000	52.935	-160.7018
5.600000	53.939	-170.7451
5.800000	54.950	178.3765
6.000000	55.635	168.7601
6.150000	55.937	162.4705
6.300000	56.090	156.8554
6.500000	56.054	150.4462
6.700000	55.777	145.2947
6.900000	55.272	141.4531
7.100000	54.591	139.3872
7.300000	53.806	139.0914
7.500000	53.074	140.9697
7.750000	52.494	144.9921
8.000000	52.574	149.7712
8.250000	53.186	152.1768
8.500000	53.998	151.4857
8.750000	54.722	147.0595
9.000000	55.136	139.6237
9.250000	55.193	129.8171
9.500000	54.844	117.9644
9.750000	54.031	103.9294
10.000000	52.696	84.8009
10.300000	50.501	52.4343
10.600000	48.112	6.9342
10.900000	47.942	-44.6736
11.200000	49.474	-90.9672
11.500000	51.168	-127.5455
11.800000	52.020	-155.1698
12.200000	51.686	173.9365
12.500000	50.323	147.5095
12.800000	47.966	109.6720
13.200000	44.331	33.1033
13.600000	44.789	-53.2316
14.000000	47.377	-119.5323
14.500000	48.668	-174.4990
15.000000	48.164	136.7656
15.500000	46.303	98.7617
16.000000	44.499	89.7544
16.500000	46.539	99.9395
17.000000	49.293	99.4509
17.500000	49.849	89.0302
18.000000	49.158	95.4995
18.500000	50.870	118.9534
19.000000	53.890	129.1721
19.500000	55.178	112.6062
20.000000	54.407	73.4814
20.600000	51.346	-2.5570
21.200001	49.225	-80.0415
21.799999	52.602	-105.3938
22.400000	58.191	-93.4620
23.000000	62.193	-91.5752
23.600000	64.096	-108.6807
24.299999	63.951	-131.7712
25.000000	61.700	-141.0891
25.799999	58.214	-133.7186
26.500000	56.380	-131.9133
27.200001	54.492	-148.1747
28.000000	50.813	163.4799
29.000000	49.879	69.5172
30.000000	52.887	-11.8033
30.700001	53.433	-62.5839
31.500000	52.299	-117.5326
32.500000	48.468	-163.5632
33.500000	48.859	154.1716
34.500000	54.291	71.5424
35.500000	56.552	-15.1138
36.500000	55.140	-97.7307
37.500000	51.105	-168.5667
38.700001	50.860	163.3159
40.000000	53.784	153.8362
