* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (UMM-6), MICROPHONE (Master Volume), L, volume: 0.180
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2023 10:59:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SP1.190.W. 1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.080	-112.4796
1.030000	60.708	-115.0496
1.060000	60.336	-117.5808
1.090000	59.967	-120.0525
1.120000	59.601	-122.3725
1.150000	59.228	-124.3771
1.180000	58.849	-126.1504
1.220000	58.335	-128.3224
1.250000	57.943	-129.9332
1.280000	57.546	-131.6363
1.320000	57.009	-134.2184
1.360000	56.465	-137.3673
1.400000	55.915	-141.3134
1.450000	55.218	-147.7176
1.500000	54.499	-156.0995
1.550000	53.730	-166.2751
1.600000	52.932	-177.8395
1.650000	52.128	169.6113
1.700000	51.346	156.4811
1.750000	50.607	143.1738
1.800000	49.938	130.0932
1.850000	49.353	117.4839
1.900000	48.780	104.1525
1.950000	48.223	90.1744
2.000000	47.714	76.0600
2.060000	47.208	59.6609
2.120000	46.868	44.6813
2.180000	46.747	32.0029
2.240000	46.942	22.4854
2.300000	47.525	15.9977
2.360000	48.339	11.4966
2.430000	49.363	7.3333
2.500000	50.218	2.7285
2.580000	50.665	-5.2534
2.650000	50.685	-15.7346
2.720000	50.487	-27.9431
2.800000	50.008	-41.4595
2.900000	49.053	-53.3531
3.000000	47.516	-56.9464
3.070000	45.935	-56.7030
3.150000	43.998	-52.7474
3.250000	41.998	-40.4927
3.350000	41.116	-16.4656
3.450000	41.111	23.0667
3.550000	41.611	67.1185
3.650000	42.292	103.1608
3.750000	43.108	125.6285
3.870000	44.454	143.1800
4.000000	45.895	152.6651
4.120000	46.896	151.3400
4.250000	47.807	138.4751
4.370000	48.552	127.6927
4.500000	49.270	125.9010
4.620000	49.839	128.6089
4.750000	50.434	131.8423
4.870000	51.018	133.5033
5.000000	51.644	135.1487
5.150000	52.258	135.3372
5.300000	52.761	132.8809
5.450000	53.105	129.2184
5.600000	53.219	125.5960
5.800000	53.026	120.3054
6.000000	52.317	113.7338
6.150000	51.434	109.2529
6.300000	50.062	111.0771
6.500000	47.459	122.1788
6.700000	45.716	142.8248
6.900000	44.988	171.3065
7.100000	46.725	-167.7972
7.300000	49.879	-154.0715
7.500000	51.892	-152.6647
7.750000	53.616	-159.8180
8.000000	54.507	-170.7213
8.250000	54.821	179.5480
8.500000	54.653	170.8865
8.750000	54.098	163.3831
9.000000	53.314	157.7961
9.250000	52.490	153.5948
9.500000	51.774	150.2222
9.750000	51.376	145.7442
10.000000	51.258	138.7745
10.300000	51.255	126.0775
10.600000	51.298	108.3116
10.900000	51.211	86.8128
11.200000	50.919	63.0815
11.500000	50.340	37.8564
11.800000	49.394	10.6903
12.200000	47.485	-31.7378
12.500000	45.925	-70.4459
12.800000	45.125	-113.9823
13.200000	46.507	-169.4505
13.600000	48.658	146.7622
14.000000	50.073	114.5231
14.500000	50.526	81.1524
15.000000	49.672	44.8484
15.500000	48.198	-3.2299
16.000000	48.231	-61.2800
16.500000	50.170	-114.8818
17.000000	51.781	-155.8307
17.500000	52.126	172.0134
18.000000	51.059	140.6754
18.500000	48.564	100.5249
19.000000	45.379	46.1244
19.500000	44.715	-8.2826
20.000000	47.078	-42.7518
20.600000	50.405	-57.3346
21.200001	53.243	-63.1006
21.799999	54.974	-73.3057
22.400000	55.243	-86.5908
23.000000	53.974	-94.3239
23.600000	51.693	-87.7346
24.299999	50.237	-70.2260
25.000000	50.591	-61.6555
25.799999	50.649	-63.4025
26.500000	50.688	-74.7687
27.200001	50.495	-101.8672
28.000000	49.216	-141.4226
29.000000	48.543	-165.1193
30.000000	51.341	-177.0951
30.700001	51.622	168.6957
31.500000	50.126	172.4061
32.500000	50.039	-177.3124
33.500000	49.590	119.8169
34.500000	48.640	-7.3713
35.500000	49.602	-106.1273
36.500000	49.206	-150.5789
37.500000	48.779	-175.9312
38.700001	48.803	166.3630
40.000000	51.363	169.0205
41.200001	53.174	165.5256
42.500000	55.326	172.9144
43.700001	58.317	175.8621
45.000000	59.688	165.2059
46.200001	59.976	160.1194
47.500000	60.766	157.9661
48.700001	61.130	153.6232
50.000000	61.741	153.9672
51.500000	63.332	148.5815
53.000000	64.690	139.3323
54.500000	65.704	128.7947
56.000000	66.070	123.3477
58.000000	67.080	118.7449
60.000000	67.414	112.5355
61.500000	67.947	107.7626
63.000000	68.619	102.1727
65.000000	69.126	93.2910
67.000000	68.775	88.2512
69.000000	68.488	90.3611
71.000000	69.750	93.3420
73.000000	71.850	90.4498
75.000000	73.653	82.7723
77.500000	75.493	70.6919
80.000000	76.754	52.4109
82.500000	76.520	31.0671
85.000000	74.419	22.8264
87.500000	72.767	38.3794
90.000000	74.919	50.7283
92.500000	77.147	45.8557
95.000000	78.465	35.2682
97.500000	79.320	24.4821
100.000000	79.682	13.1818
103.000000	79.073	3.7664
106.000000	78.580	5.0437
109.000000	79.828	8.3293
112.000000	81.486	3.5154
115.000000	82.627	-6.0872
118.000000	83.467	-16.3728
122.000000	84.043	-34.5332
125.000000	83.487	-50.7471
128.000000	81.842	-60.2947
132.000000	79.520	-58.0327
136.000000	78.565	-51.1117
140.000000	79.565	-43.7676
145.000000	80.953	-52.3719
150.000000	79.829	-59.8904
155.000000	79.197	-54.9316
160.000000	79.887	-52.3274
165.000000	80.560	-54.4734
170.000000	80.860	-60.1609
175.000000	80.189	-64.3276
180.000000	79.582	-63.1058
185.000000	79.550	-59.9741
190.000000	80.289	-57.5653
195.000000	81.398	-60.7058
200.000000	81.472	-67.6561
206.000000	80.983	-67.6688
212.000000	81.654	-66.1183
218.000000	82.348	-68.9043
224.000000	82.839	-71.4968
230.000000	83.224	-74.1355
236.000000	83.881	-73.7844
243.000000	85.731	-76.3296
250.000000	86.817	-89.9678
258.000000	86.532	-106.4136
265.000000	85.439	-115.0505
272.000000	84.430	-118.8235
280.000000	83.290	-123.1809
290.000000	81.838	-123.1587
300.000000	80.649	-117.2937
307.000000	81.006	-112.0417
315.000000	81.291	-112.8989
325.000000	81.693	-108.9175
335.000000	82.409	-113.8721
345.000000	82.154	-115.1528
355.000000	82.901	-113.9497
365.000000	83.899	-119.3052
375.000000	83.773	-128.3655
387.000000	82.893	-127.0605
400.000000	83.612	-126.7603
412.000000	83.425	-132.1208
425.000000	82.866	-136.1760
437.000000	82.305	-139.1211
450.000000	81.270	-135.7490
462.000000	81.617	-128.5381
475.000000	82.670	-128.0591
487.000000	83.749	-132.4084
500.000000	83.982	-140.0264
515.000000	83.879	-144.4395
530.000000	84.234	-146.4041
545.000000	84.978	-151.8335
560.000000	84.564	-159.5862
580.000000	83.681	-160.5630
600.000000	82.874	-158.6514
615.000000	82.774	-156.3848
630.000000	82.903	-158.9521
650.000000	82.666	-167.5540
670.000000	80.999	-174.5867
690.000000	78.466	-161.7317
710.000000	79.243	-140.0369
730.000000	81.687	-132.3130
750.000000	83.131	-133.9282
775.000000	85.013	-135.4729
800.000000	86.099	-143.6443
825.000000	85.870	-151.8584
850.000000	85.372	-157.4673
875.000000	85.439	-161.6997
900.000000	85.859	-166.5679
925.000000	85.998	-172.7734
950.000000	85.903	-173.7673
975.000000	86.514	-173.5242
1000.000000	86.657	-179.4246
1030.000000	85.604	174.0566
1060.000000	83.971	177.7461
1090.000000	83.942	-179.3530
1120.000000	83.788	176.0049
1150.000000	82.403	-179.6267
1180.000000	82.431	-167.8108
1220.000000	83.745	-167.6455
1250.000000	83.656	-171.5078
1280.000000	83.635	-172.7202
1320.000000	83.960	-174.5513
1360.000000	84.419	-179.1296
1400.000000	84.192	176.1438
1450.000000	84.785	175.4775
1500.000000	84.612	163.4702
1550.000000	83.566	160.6064
1600.000000	82.722	154.3911
1650.000000	81.345	153.8489
1700.000000	80.705	150.0498
1750.000000	79.677	146.8467
1800.000000	79.205	143.7029
